Marca,Potencia,Tipo de vehículo,Año,Km,Tipo Gasolina,Ubicación,Precio
MERCEDES-BENZ Clase A,180,,2020,180970,Diésel,Madrid,19650
MERCEDES-BENZ Clase A,250,Sedán,2023,5000,Híbrido,Málaga,39900
MERCEDES-BENZ Clase A,200,,2022,39620,Diésel,Badajoz,33900
MERCEDES-BENZ Clase A,250,,2024,5000,Híbrido,Málaga,46900
MERCEDES-BENZ Clase A,200,Compacto,2022,16705,Diésel,Córdoba,34400
MERCEDES-BENZ Clase A,180,Compacto,2023,17131,Diésel,Granada,34500
MERCEDES-BENZ Clase A,200,Sedán,2023,7000,Gasolina,Málaga,38950
MERCEDES-BENZ Clase A,250,Compacto,2024,8,Híbrido,Madrid,46500
MERCEDES-BENZ Clase A,180,,2019,99000,Diésel,Málaga,26900
MERCEDES-BENZ Clase A,200,,2021,45156,Diésel,Granada,34500
MERCEDES-BENZ Clase A,180,,2019,134158,Diésel,Madrid,19990
MERCEDES-BENZ Clase A,180,Compacto,2021,26878,Diésel,Madrid,29900
MERCEDES-BENZ Clase A,180,Sedán,2024,5000,Gasolina,Málaga,39900
MERCEDES-BENZ Clase A,180,Compacto,2022,11067,Diésel,Asturias,31900
MERCEDES-BENZ Clase A,250,,2023,6000,Híbrido,Málaga,39900
MERCEDES-BENZ Clase A,250,,2023,5763,Híbrido Enchufable,Barcelona,38800
MERCEDES-BENZ Clase A,250,,2022,22300,Híbrido Enchufable,Valencia,32890
MERCEDES-BENZ Clase A,180,,2019,108738,Diésel,Madrid,19890
MERCEDES-BENZ Clase A,200,,2023,19822,Diésel,Almería,36500
MERCEDES-BENZ Clase A,220,,2020,91933,Diésel,La Coruña,33790
MERCEDES-BENZ Clase A,250,,2023,16000,Híbrido,Badajoz,43900
MERCEDES-BENZ Clase A,200,,2016,133000,Diésel,Málaga,18900
MERCEDES-BENZ Clase A,180,,2019,99000,Diésel,Málaga,25900
MERCEDES-BENZ Clase A,180,,2020,81889,Gasolina,Málaga,25900
MERCEDES-BENZ Clase A,200,,2023,29500,Diésel,Salamanca,36900
MERCEDES-BENZ Clase A,200,,2023,20300,Diésel,Alicante,34800
MERCEDES-BENZ Clase A,180,,2019,106000,Diésel,Málaga,27900
MERCEDES-BENZ Clase A,250,Compacto,2024,0,Híbrido,Córdoba,49500
MERCEDES-BENZ Clase A,200,Compacto,2024,11,Diésel,Madrid,42400
MERCEDES-BENZ Clase A,180,,2020,54834,Diésel,Badajoz,27900
MERCEDES-BENZ Clase A,200,,2015,90790,Diésel,Almería,17900
MERCEDES-BENZ Clase A,250,,2023,10858,Híbrido Enchufable,Almería,41900
MERCEDES-BENZ Clase A,200,Compacto,2023,14911,Diésel,Granada,35900
MERCEDES-BENZ Clase A,250,Compacto,2024,114,Híbrido,Madrid,46900
MERCEDES-BENZ Clase A,200,,2019,70000,Gasolina,Barcelona,26990
MERCEDES-BENZ Clase A,200,,2023,11525,Diésel,Barcelona,36900
MERCEDES-BENZ Clase A,250,,2023,10027,Híbrido Enchufable,Almería,40900
MERCEDES-BENZ Clase A,250,,2024,17000,Híbrido,Málaga,46900
MERCEDES-BENZ Clase A,180,,2019,99083,Diésel,Madrid,22980
MERCEDES-BENZ Clase A,180,Compacto,2024,10200,Diésel,Alicante,37500
MERCEDES-BENZ Clase A,180,,2022,17800,Diésel,Burgos,34500
MERCEDES-BENZ Clase A,180,,2020,77365,Diésel,Madrid,20590
MERCEDES-BENZ Clase A,180,,2021,50000,Diésel,Málaga,28900
MERCEDES-BENZ Clase A,180,,2019,134158,Diésel,Madrid,19990
MERCEDES-BENZ Clase A,180,Compacto,2023,13900,Diésel,Alicante,33900
MERCEDES-BENZ Clase A,180,,2019,108738,Diésel,Madrid,19890
MERCEDES-BENZ Clase A,180,,2019,103879,Diésel,Madrid,19490
MERCEDES-BENZ Clase A,180,,2020,70000,Gasolina,Málaga,26900
MERCEDES-BENZ Clase A,180,,2023,9660,Gasolina,Granada,32900
MERCEDES-BENZ Clase A,180,Compacto,2023,20623,Diésel,Granada,33500
MERCEDES-BENZ Clase A,180,Compacto,2023,8195,Gasolina,Granada,32900
MERCEDES-BENZ Clase A,200,Compacto,2023,6708,Diésel,Islas Baleares,33500
MERCEDES-BENZ Clase A,250,,2024,1000,Híbrido,Málaga,50000
MERCEDES-BENZ Clase A,180,,2023,10689,Diésel,Girona,34500
MERCEDES-BENZ Clase A,200,,2018,92145,Gasolina,Alicante,25290
MERCEDES-BENZ Clase A,200,,2017,148014,Diésel,Madrid,19900
MERCEDES-BENZ Clase A,250,,2012,79000,Gasolina,Vizcaya,22500
MERCEDES-BENZ Clase A,150,,2019,20265,Diésel,Barcelona,28500
MERCEDES-BENZ Clase A,250,,2023,8000,Híbrido,Málaga,39900
MERCEDES-BENZ Clase A,108,,2014,117000,Diésel,Vizcaya,16990
MERCEDES-BENZ Clase A,250,,2023,7000,Híbrido,Málaga,35900
MERCEDES-BENZ Clase A,200,,2017,113000,Diésel,Burgos,21300
MERCEDES-BENZ Clase A,250,Compacto,2024,5,Gasolina,Granada,42900
MERCEDES-BENZ Clase A,250,,2023,5000,Híbrido,Málaga,39900
MERCEDES-BENZ Clase A,180,,2023,7000,Diésel,Málaga,35900
MERCEDES-BENZ Clase A,180,,2019,82000,Diésel,Barcelona,22990
MERCEDES-BENZ Clase A,200,,2023,16841,Gasolina,Barcelona,36900
MERCEDES-BENZ Clase A,200,,2019,93603,Gasolina,La Coruña,22400
MERCEDES-BENZ Clase A,180,,2023,6000,Diésel,Salamanca,38900
MERCEDES-BENZ Clase A,200,,2023,11091,Diésel,Badajoz,34900
MERCEDES-BENZ Clase A,180,,2018,137581,Diésel,Madrid,15890
MERCEDES-BENZ Clase A,200,,2022,16934,Diésel,Salamanca,34900
MERCEDES-BENZ Clase A,180,Sedán,2020,148269,Diésel,Huesca,24490
MERCEDES-BENZ Clase A,180,,2018,72000,Diésel,Córdoba,27500
MERCEDES-BENZ Clase A,180,,2020,34484,Diésel,Málaga,26400
MERCEDES-BENZ Clase A,180,Compacto,2023,26900,Diésel,Alicante,33500
MERCEDES-BENZ Clase A,180,,2023,9032,Diésel,Badajoz,34900
MERCEDES-BENZ Clase A,200,,2019,96359,Gasolina,Ciudad Real,25990
MERCEDES-BENZ Clase A,200,,2023,30829,Diésel,Badajoz,34900
MERCEDES-BENZ Clase A,200,,2023,11125,Diésel,Girona,35700
MERCEDES-BENZ Clase A,140,,1999,192460,Gasolina,La Coruña,2700
MERCEDES-BENZ Clase A,200,,2020,84900,Diésel,Sevilla,26490
MERCEDES-BENZ Clase A,180,,2019,70887,Gasolina,Valladolid,22900
MERCEDES-BENZ Clase A,180,Compacto,2023,8104,Gasolina,Granada,32900
MERCEDES-BENZ Clase A,200,,2023,20000,Diésel,Madrid,39900
MERCEDES-BENZ Clase A,180,Compacto,2023,10900,Diésel,Alicante,33900
MERCEDES-BENZ Clase A,180,Compacto,2023,14200,Diésel,Alicante,33900
MERCEDES-BENZ Clase A,200,,2022,28360,Gasolina,La Coruña,35500
MERCEDES-BENZ Clase A,200,,2023,12944,Diésel,Madrid,35900
MERCEDES-BENZ Clase A,180,,2024,100,Gasolina,Málaga,41900
MERCEDES-BENZ Clase A,250,,2016,74000,Gasolina,Madrid,28490
MERCEDES-BENZ Clase A,180,,2020,38782,Diésel,Badajoz,28900
MERCEDES-BENZ Clase A,180,,2023,35377,Diésel,La Coruña,33900
MERCEDES-BENZ Clase A,200,,2019,72976,Diésel,Pontevedra,29500
MERCEDES-BENZ Clase A,180,,2021,71033,Diésel,Madrid,28500
MERCEDES-BENZ Clase A,180,,2020,60000,Gasolina,Málaga,29950
MERCEDES-BENZ Clase A,180,,2020,77365,Diésel,Madrid,20590
MERCEDES-BENZ Clase A,200,,2022,13631,Diésel,Almería,34900
MERCEDES-BENZ Clase A,250,,2020,69857,Gasolina,Madrid,25890
MERCEDES-BENZ Clase A,250,,2022,20750,Híbrido,Zaragoza,37900
MERCEDES-BENZ Clase A,180,,2022,6365,Diésel,Islas Baleares,34000
MERCEDES-BENZ Clase A,220,,2019,73371,Gasolina,Islas Baleares,24950
MERCEDES-BENZ Clase A,250,,2021,24000,Híbrido Enchufable,Castellón,30990
MERCEDES-BENZ Clase A,200,Compacto,2023,14316,Diésel,Córdoba,36500
MERCEDES-BENZ Clase A,250,,2023,13017,Híbrido,Badajoz,38900
MERCEDES-BENZ Clase A,180,Compacto,2024,3200,Diésel,Alicante,37500
MERCEDES-BENZ Clase A,180,,2020,82905,Diésel,Madrid,27760
MERCEDES-BENZ Clase A,250,,2023,5000,Híbrido,Málaga,44900
MERCEDES-BENZ Clase A,250,Compacto,2024,11999,Híbrido,Madrid,44800
MERCEDES-BENZ Clase A,180,,2022,39475,Diésel,Badajoz,33900
MERCEDES-BENZ Clase A,180,,2022,22440,Diésel,Granada,32900
MERCEDES-BENZ Clase A,180,,2022,15424,Gasolina,Madrid,32900
MERCEDES-BENZ Clase A,180,,2023,22365,Híbrido,Badajoz,33900
MERCEDES-BENZ Clase A,200,,2023,17545,Diésel,Granada,35900
MERCEDES-BENZ Clase A,200,Sedán,2023,8433,Diésel,Córdoba,43900
MERCEDES-BENZ Clase A,250,,2023,48340,Híbrido Enchufable,Salamanca,46900
MERCEDES-BENZ Clase A,180,,2023,9900,Diésel,Alicante,33900
MERCEDES-BENZ Clase A,250,Compacto,2024,11999,Híbrido,Córdoba,44800
MERCEDES-BENZ Clase A,180,Sedán,2020,66545,Diésel,Cádiz,25790
MERCEDES-BENZ Clase A,180,Compacto,2022,9506,Diésel,Islas Baleares,31000
MERCEDES-BENZ Clase A,180,,2020,119532,Diésel,Granada,25500
MERCEDES-BENZ Clase A,180,,2020,76000,Gasolina,Sevilla,22440
MERCEDES-BENZ Clase A,250,,2022,17290,Híbrido,Madrid,33900
MERCEDES-BENZ Clase A,180,Compacto,2022,7854,Diésel,Granada,32900
MERCEDES-BENZ Clase A,180,,2020,82905,Diésel,Vizcaya,27760
MERCEDES-BENZ Clase A,200,,2023,10167,Diésel,Girona,37800
MERCEDES-BENZ Clase A,200,,2020,78750,Diésel,Valencia,32000
MERCEDES-BENZ Clase A,180,,2019,89000,Gasolina,Córdoba,23990
